Username,Stars,Time,RawTime,Text,Images
張瑞家,1,2026-04-28,3 週前,時隔一個月去買春芽冷露，封磨機還是沒修好，第一次買漏水漏的嚴重，第二次封兩層，走到一半還是爆開，真的很糟糕趕快去換一台新的，好嗎？,
糠知恆,2,2026-04-28,3 週前,"有個戴眼鏡的男店員我點餐的時候生茶烏龍厚乳聽成茶花烏龍厚乳 加料也加錯 點餐時我先說了生茶烏龍厚乳大杯加墨玉微糖微冰 然後半熟烏龍厚乳大杯微糖微冰 結果點出來的是茶花烏龍厚乳加水玉微糖微冰跟半熟烏龍厚乳加水玉微糖微冰 第一個飲料可能聽錯畢竟茶花跟生茶都有一個茶 但兩杯飲料都加料然後還加錯就有點離譜了吧？ 有在上班嗎？ 這確定有領薪水？

更扯的是我自己沒注意完結完帳之後跟他說點錯了 還給我笑了一下 有這種店員真的是三生有幸了 祝可不可加盟主以後都能找到這種店員 搞不好還就是加盟主或店長勒 給兩顆是怕google遮擋 本來是想給六顆的😊",
高先生,3,2026-04-28,3 週前,"本人想刷載具付現
員工一句那就刷LINE Pay就好啦
為什麼要管客人如何付帳？",https://lh3.googleusercontent.com/grass-cs/ANxoTn30_Y6KzJaK_nYlGmRrSx70juw3oiDpw-9e0wUNLupkqLZX7DODoagUQafbJ_zZTPS9HDhqgK00J6AWNLVSPI10X9qsRgVxAK-fBM79Pmud9CutSYQSLHNF8ab3-PmoWcXVVLNaWUDcWMQm=w600-h450-p-k-no
豆沙包45,1,2026-04-28,3 週前,男店員的態度不敢領教⋯⋯,
曾士源,5,2026-04-19,1 個月前,老闆娘人好，漂亮，態度佳，還很會聊天，也懂的推銷產品，上次推銷白玉歐蕾微冰微糖，想說試喝一次，結果就喜歡上了，於是就回購一杯給小孩，已購買，小孩愛喝！,
盧銘琪,5,2026-03-19,2 個月前,妳們開門了沒,
楊授宇,5,2019-05-19,7 年前,老闆很帥,
06李宥叡,1,2026-01-19,4 個月前,出餐速度很慢,
YUHA JANG,5,2022-05-19,4 年前,不錯，這是一款口感醇厚的紅茶。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn10DsDBfnjT7zu65WyTjUCoZf9Vb3aceT7lz74RPVAHau-FKX460NcT4Xp_Ifcywch_PpFUtat8cOB7WSxacjRDHEvbohkL4btKa59QrD39tGOJPbjvZmNGrfaaTwvjVJ5G5peR=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2jS4fmj1ruC9e9tMVPiFORZCalfGOn1eyBikWOEQw_N6Hr-QBzN_X8fFcKcUcFM9nwaiGItTpjnxPzVaDXxOdHE3gl1B-kuo9EdvhcVu7A1aVgCIbMRvIE691HCECoLjOd-HJd=w300-h450-p-k-no"
鹿盈,5,2020-05-19,6 年前,比新店的那家可不想好喝太多了,https://lh3.googleusercontent.com/grass-cs/ANxoTn1xRaF-73WQCN9OlWN9eHTYr6ZxKVO3IQAtgAxo3p3DYFGs5G8EiJjw55eWfRI_J4x-ck3jEOW9KvsQPjW5_bcOVcaw3ujegfHUEhWzD08J0RNdpiL0aT8OCHBDOrQRS_Fs_r2Cbw=w600-h450-p-k-no
hanyya,4,2021-05-19,5 年前,奶茶值得一喝~價格比想像中便宜，人也很友善~！,
Max Chen,5,2021-05-19,5 年前,好喝,https://lh3.googleusercontent.com/grass-cs/ANxoTn1Exd3gyPvaZhZx-ipqO8cNRB3LNWLlHlt5r7IYuoU1ed1yRa_KW8KC2DKIED9pghl4VJDSL1lyCOaneiQ46K9hZzAqlBkdigvRegYkPGrNmi4sR1eFbH0fJ7FmXAKQfE0Y_I6Y=w600-h450-p-k-no
高槻小智,5,2020-05-19,6 年前,好喝，茶味重.,https://lh3.googleusercontent.com/grass-cs/ANxoTn3kPG-Lj_tCLRPs-xhWAV99P82Doo0wMY4-Tyt3JmA4pxqZBPN6epvxtwKgppLt0m83X1dPkaznBQBgdT9H8KObNDnWGhihpXE3_q4fjAN_s8wwZ_z7MTwiL0-VKL5k_W_2hO4W=w600-h450-p-k-no
Wanderlust,3,2021-05-19,上次編輯：5 年前,還不錯。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3mg5VrOjagF9TQXZbsyuHpUYlV4Txt-_-dqrGKyrLswlEhyeH9fftafQZfH_WtuPu-yH-345uPoRZDvZzoFKkg9Ba2OSnPOH0a3IOFoa3p0yUM8vCh4Xj4OBEuWbpLAjEMO_MD=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3d16hZHDvDLiFfi6lKjK0IGN80tH7IUqgPJrBacfzoNAsPp_DKCQBRJSl4H580bcsBUyyvgY3cCC9Ig9w2me8ZrKGjaBUlP9-rLshzI7dABiAexS2DqSC7ahAfgMY67qCEfGUXBA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1nm0Wk6OzCBPZoJcYmG5KvrRSe8SnPUldUbCX-shA4EXkAddD04HctVMrClbKUd8kFYDhpr5TfSMN88O6X-5TywmMCwdx2EgGGJtpRZNgziVPZOJ6gnfZUWd3ZBAJ5s-7X-pUn=w300-h225-p-k-no"
謝德驊,5,2024-05-19,2 年前,快且有效率,https://lh3.googleusercontent.com/grass-cs/ANxoTn0NUs4m_GbugmojCYKSrC6b6xKpNSDh9to8OF7xL6zrBS7Zwy3dTLVAt3uAGi55SFhk2REd-4ap0GXUHF6AR4tmdqDC-Gx7Mwpvg5lTWN5bRDk3LpMWBkAhv5wsNNnTJs10n5-p=w600-h450-p-k-no
Azjargal Naranbaatar,5,2024-05-19,2 年前,最好吃的曲奇口味奶茶！,
Johann Obstmann,5,2023-05-19,3 年前,好喝,
張嘉芬,5,2025-05-19,上次編輯：1 年前,很好喝,
黑寶,5,2025-05-19,1 年前,棒 好喝！,
Ting Chen,5,2024-05-19,2 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn19i7Eb49bT5Af8q9NxKNhGeOuKJie8qJdV-qJvU7Ot07xElOOZbk8Q-Q3tjp600vYnqXKKxVsvZtME5KByUDWtUjm7UrOBwQJYIMMXQN7vRqliypZf-YLj5mldaDg1dtyTCn8NBQ=w600-h450-p-k-no
Jing Fu Zeng,5,2020-05-19,6 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn32HK7AXhnlZJb_VH0ndANvCSIqMBWy99usovf7_nzeEbrhbKUY3VxWGRiSWCS5nAu05NUOeoRCu6LM8aGwzIjcfKE_pxDU28zTRo26VspHttDu5y7wzZnnS4oG0VNXAncnW5FC=w600-h450-p-k-no
Stanley Lin,5,2021-05-19,5 年前,超好喝,
Jerry Jhang,3,2021-05-19,5 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn16WFYzXcPeUEvr2PkPfHj1AiG6yAisthDLp2EVSpkJeOI_WlvrrDs74UVeAh7MBTOBCuAIW3tcUS9V8nMW6wcG-KRLImpwOkArF5bFNe8U6fGTJU_uhc86ar4F56yuO7Lk6KAT=w600-h450-p-k-no
Remi Chen,5,2021-05-19,5 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn2yDmda3Bsgz1F_R8I_cWIVapbYWV8evRo26e2Xw6k-CmGcYPS42qkED5p4WMdmCI59gpRcdCViNUvv_lJBbbjmAYIB6CTScvRz_PI87blL_zHIdnT_sbpr3t03TVdSw_boCJ8w=w600-h450-p-k-no
Sara Cheng,5,2020-05-19,6 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn28SplDJZWfzYHzIV-Cq_hcjoPlSwSlfF8wr3QhCbL1aUFZA4mDkWmMxgMb8D29HQFMEVk0crlvX3IJ0AUmgx8mNekiDMnJiIeq39psBkAFrMJI3nM4QcOsD142E7XfaEx0Xor6vA=w600-h450-p-k-no
Musquiqui Chihying,5,2022-05-19,4 年前,這是我喝過最好喝的飲料！ ！ ！ ！,
Deo羅,5,2024-05-19,2 年前,好的,
Kevin CHANG,5,2023-05-19,3 年前,好喝,
Christian Lopez,5,2022-05-19,4 年前,最好的紅茶,
匿名鯨頭鸛,5,2020-05-19,6 年前,👍🏻👍🏻👍🏻 …,
alice,5,2023-05-19,3 年前,喜歡這款飲料,
Kevin Chao,4,2025-05-19,1 年前,,
yu,5,2025-05-19,1 年前,,
